date,headline,content,url,source,country,primary_agenda,primary_category,political_categories,cultural_categories,political_score,cultural_score
2025-11-02,Patrik Lundberg: Sölvesborg har knäckt framgångskoden,"En utskrift från Dagens Nyheter, 2025-11-05 12:12 Artikelns ursprungsadress: https://www.dn.se/sverige/patrik-lundberg-solvesborg-har-knackt-framgangskoden/ Kommuner i periferin har i regel två val. Att lägga sig platt. Eller att göra som i Sölvesborg. Är du redan prenumerant, logga in för att fortsätta läsa. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår. Läs DN +Allt 2 mån för 9 kr. Sedan för halva priset i ett halvår, endast 125 kr/mån. Därefter ord. pris 249 kr/mån. DN.se, Expressen.se, lokala nyhetssajter och mer ingår.",https://www.dn.se/sverige/patrik-lundberg-solvesborg-har-knackt-framgangskoden/,DN,sweden,cultural,arts,elections,arts,1,1
2025-10-31,Rama Duwaji blir New Yorks första dam,"När Zohran Mamdani på tisdagen valdes till New Yorks borgmästare skrev han historia. Vid hans sida står Rama Duwaji, en 28-årig konstnär och stadens nya första dam. Ljuduppspelningen är AI-genererad. Felaktigheter kan förekomma. Rama Duwaji är en syrisk illustratör och animatör baserad i Brooklyn, New York City. Så beskriver hon sig själv på sin hemsida. Nu kan hon lägga till New Yorks första dam. 28-åringen har fått stor uppmärksamhet i amerikanska medier och har en bakgrund som aktivist med rötter i Syrien och USA. Duwaji är född i Houston och bodde i Texas tills familjen flyttade till Dubai när hon var nio. Under universitetsstudierna återvände hon till USA och tog examen vid Virginia Commonwealth University och senare en master i illustration från School of Visual Arts i New York. Hennes verk har publicerats i bland annat The Cut, BBC, Vogue och The New Yorker. Förutom konsten har Duwaji engagerat sig i organisationer för mänskliga rättigheter och frågor om social rättvisa, migration och integration. Hon är en tydlig röst för kvinnor och minoriteter, både i New York och internationellt. På Instagram visar hon sin konst, bland annat svartvita illustrationer av kvinnor från Mellanöstern och motiv som berör hunger i Gaza och den palestinska flaggan. Rama Duwaji och Zohran Mamdani träffades på dejtingappen Hinge år 2021. Paret förlovade sig i oktober 2024 och gifte sig i februari i år vid en borgerlig vigsel i februari på stadskontoret i Lower Manhattan. Paret har bott i Astoria, Queens, men flyttar nu till den officiella guvernörsbostaden i New York. Som första dam vill Duwaji använda sin plattform för att lyfta frågor om jämlikhet och inkludering. Demokraternas kandidat Zohran Mamdani, 34, vinner borgmästarvalet i New York. Han är stadens yngste borgmästare på över ett århundrade och den förste demokratiske socialisten på posten någonsin. Han är också den första muslimska borgmästaren i New York. Mamdani gick till val på löften om gratis kollektivtrafik, prispress",https://www.expressen.se/nyheter/varlden/rama-duwaji-blir-new-yorks-forsta-dam/,Expressen,sweden,cultural,arts,"elections,immigration,education_policy","religion,arts",3,3
2025-10-23,Aftonbladet Direkt,"arrow Aftonbladets app checkSnabbare checkMindre reklam checkBara de pushnotiser du vill En kvinna i 35-årsåldern har förts till sjukhus med allvarliga, men inte livshotande, skador efter en händelse på ett vårdboende i Flen. En man i 20-årsåldern, som också bor på boendet, har gripits av polis misstänkt för försök till mord. Polisen uppger att gripandet ska ha gått lugnt till. Platsen är avspärrad för teknisk undersökning, men händelsen påverkar inte allmänheten, enligt polisen. Minst elva personer har bekräftats omkomna efter tisdagskvällens brand på ett äldreboende i nordöstra Bosnien-Hercegovina, uppger lokala myndigheter. Ytterligare minst 30 skadade vårdas på onsdagsförmiddagen på sjukhus. Enligt lokala medier var många av de boende sjuka och sängliggande. Bland de skadade finns även brandmän och poliser. Läs mer här. Tio personer har blivit påkörda av en bil på ön Île d'Oléron, skriver franska medier. Fem personer har skadats och tre av dem ska vara allvarligt skadade, enligt Le Parisien. Mannen var i färd med att tända eld på fordonet när han greps av polis. Han är tidigare känd av polisen, enligt stadens borgmästare. Enligt tidiga uppgifter ska mannen ha ropat ""Allahu akbar"" innan händelsen. Belgiens premiärminister Bart De Wever kallar till ett akut regeringsmöte efter de upprepade drönarlarmen. Trafiken på Brysselflygplatsen Zaventem står fortsatt delvis still på onsdagen. Mötet i regeringens säkerhetsråd hålls på torsdagsmorgonen efter förfrågan från landets inrikesminister. I säkerhetsrådet ingår landets försvars-, inrikes-, justitie- och utrikesminister. Tisdagskvällens drönarlarm fick flera flygplatser i Belgien att stänga i flera omgångar. Ännu på onsdagen påverkas trafiken. Bryssels främsta flygplats Zaventem varnar för fortsatta förseningar och inställda flyg ”av säkerhetsskäl” under dagen. Läs mer här. Stockholmsbaserade klockmärket Daniel Wellington har sålt 51 procent av bolagets aktier till den amerikanska klocktillverkaren Timex. ”De är den pe",https://www.aftonbladet.se/nyheter/a/Rr77qd/aftonbladet-direkt,Aftonbladet,sweden,political,governance,"governance,defense",arts,3,1
2025-10-22,Smällarna mot Trump – Demokraterna vinner valen överallt,"Donald Trump har en tung valnatt. I New York vann den ”galna kommunisten” stort. I New Jersey fick hans skyddsling stryk. I Virginia tog Demokraterna över guvernörsposten. Och Kalifornien kommer att rita om valdistrikten. Missa inget om Donald Trump – ladda ned Expressens app här Ljuduppspelningen är AI-genererad. Felaktigheter kan förekomma. Demokraternas kandidat Zohran Mamdani, 34, vinner borgmästarvalet i New York. Han är stadens yngste borgmästare på över ett århundrade och den förste demokratiske socialisten på posten någonsin. Han är också den första muslimska borgmästaren i New York. Mamdani gick till val på löften om gratis kollektivtrafik, prispressade mataffärer och frysta hyror, men har bland annat kritiserats för sin hållning mot Israel i Gazakriget. Sammanlagt hölls upp mot 10 000 omröstningar i USA. Bland annat valdes nya guvernörer valdes i New Jersey och Virginia. Väljarna i Kalifornien röstade ja till guvernör Gavin Newsoms plan på att rita om valdistrikten. Det spås kunna ge Demokraterna fem extraplatser i representanthuset. Ingenting gick Donald Trumps väg i valen i USA natten mot onsdagen. Kort efter att vallokalerna stängt kom förlusterna för de republikanska kandidaterna slag i slag. Först ut var guvernörsvalet i Virginia, där samtliga valstatistiker snabbt konstaterade: Det här kommer Abigail Spanberger vinna enkelt. Hon vann över motståndaren Winsome Earle-Sears, som har ringt och gratulerat sin motståndare. – Jag önskade henne lycka till. Om hon är framgångsrik blir Virginia framgångsrikt. Därmed blir Spanberger delstatens första kvinnliga guvernör. Samtidigt vinner demokraten Ghazala Hashmi valet till viceguvernör och blir historisk som första muslimska kvinna i USA att inneha ett sådant ämbete. Segern innebär att Demokraterna tar över makten i delstaten där republikanen Glenn Youngkin varit guvernör de senaste fyra åren. Efter Spanberger var det Mikie Sherrills tur. I valet i New Jersey, som på förhand såg lite jämnare ut, slogs snart fas",https://www.expressen.se/nyheter/varlden/demokraten-abigail-spanberger-blir-virginias-nya-guvernor/,Expressen,sweden,cultural,arts,elections,"religion,arts,youth_culture",2,4
2025-10-21,Bilderna förbryllar – bomben studsar,Kryper fram på natten • ”Stäng dörren!” Borgmästarens utspel möttes av storjubel Uppgifter efter bilderna i natt • Se tillslaget mot kraftverket Drönarattack i Svarta havet Filmen visar skottdramat i Ohio Nordkoreanska elittrupper tillbaka från Ryssland i uppvisning Paret flyr i skräck Smällar från i ryska Saratov Lastbilen med djuren välte – jakten i Mississippi Värdinnans mardröm i USA • 4 000 liter Svarar på frågan efter Andrew blivit exprins Ena handen upptagen – så slutar dramat Kan bära tolv Poseidonrobotar Marscherar genom populära målet • ”Skrämmande” Kaotiska scenerna efter knivattacken 2 döda • 14 skadade • 2 000 skott avlossade Se när polisen griper in Bilderna från Japan väcker frågor,https://www.expressen.se/tv/nyheter/varlden/ryska-missen-bomben-studsar-mot-marken/,Expressen,sweden,cultural,arts,,arts,0,2
2025-09-24,Expert: Fick kämpa hårt för urvattnad kompromiss,"EU-ländernas beslut om nya klimatmål blev en urvattnad kompromiss, anser klimatforskaren Naghmeh Nasiritousi. – Men det är ändå ett viktigt steg för att EU ska ha någon sorts trovärdighet på klimatmötet nästa vecka, säger hon. Bara dagar innan FN:s klimattoppmöte drar igång i Brasilien lyckades EU-länderna enas om ett nytt klimatmål efter långa förhandlingar. Utsläppen ska minskas med 90 procent till 2040 jämfört med 1990, vilket är vad EU-kommissionen hade föreslagit. Men uppgörelsen innehåller också detaljer som gör det lättare för länderna att nå målet.",https://www.svd.se/a/zARA85/expert-fick-kampa-hart-for-urvattnad-kompromiss,SvD,sweden,political,foreign_policy,foreign_policy,,1,0
2025-09-03,Segeryra på Zohran Mamdanis valvaka: ”Fantastiskt”,"/ Emelie Svensson chevron-right Uppdaterad 11.49 | Publicerad 09.14 NEW YORK. För ett år sedan visste få vem han var. Nu skriver han historia. Under nattens valvaka i New York exploderade jublet när Zohran Mamdani, 34, klev upp på scenen som stans nya borgmästare. –Jag är stolt, säger Sex and the City-stjärnan Cynthia Nixon, 59 till Aftonbladet under segerfesten. Mamdanifebern nådde sin topp i New York i natt. Med glädjetårar, skratt och drinkar som spilldes i segergesterna. – Vi gjorde det! I teatern i Brooklyn, badande i kampanjens blågula färger, dansade hundratals anhängare i extas under den officiella valvakan. När resultatet projicerades på väggen – ögonblicket då allt de kämpat för blev verklighet – ville jublet aldrig ta slut. – Jag är så glad! Det här är så spännande. En vinst för New York, säger supportern Julia Pike, 28, som har Zohran-klistermärken fästa vid ögonen. Hon strålar ikapp med strålkastarna och dansar med vännerna. – Jag känner hopp för första gången på länge. 34-årige Zohran Mamdani har gjort kometkarriär och på kort tid skakat om den politiska kartan i New York. Med sitt vänsterpopulistiska budskap har han nu tagit sig hela vägen till den mäktigaste posten i USA:s största stad.Och han skriver historia: som den yngsta borgmästaren på hundra år. Som den första muslimen i stadshuset – och som övertygad demokratisk socialist.För många i rummet är han symbolen för det generationsskifte som många menar är nödvändig i amerikansk politik. I salen i Brooklyn syns flera välkända ansikten som stött Mamdani under kampanjen.En av dem är den världskända streamern och vänsteraktivisten Hasan Piker, 34, som beskriver stämningen som ”elektrisk”. Till Aftonbladet säger han att valresultatet visar att demokratväljare har fått nog av status quo och tomma löften.– De vill ha handling. De vill ha förändring. De vill ha någon som representerar arbetarklassen – en verklig kämpe. Det är tydligt att det här är något människor kräver över hela landet, säger han. – De ",https://www.aftonbladet.se/nyheter/a/lw8Ej3/segeryra-pa-zohran-mamdanis-valvaka-aftonbladet-pa-plats,Aftonbladet,sweden,cultural,religion,elections,"religion,arts,youth_culture",1,3
2025-08-21,Här avslöjas domaren med byxorna nere,Kryper fram på natten • ”Stäng dörren!” Borgmästarens utspel möttes av storjubel Uppgifter efter bilderna i natt • Se tillslaget mot kraftverket Drönarattack i Svarta havet Filmen visar skottdramat i Ohio Nordkoreanska elittrupper tillbaka från Ryssland i uppvisning Paret flyr i skräck Slår ner vid ukrainska bostadshus Smällar från i ryska Saratov Lastbilen med djuren välte – jakten i Mississippi Värdinnans mardröm i USA • 4 000 liter Svarar på frågan efter Andrew blivit exprins Ena handen upptagen – så slutar dramat Kan bära tolv Poseidonrobotar Marscherar genom populära målet • ”Skrämmande” Kaotiska scenerna efter knivattacken 2 döda • 14 skadade • 2 000 skott avlossade Bilderna från Japan väcker frågor,https://www.expressen.se/tv/nyheter/varlden/har-avslojas-domaren-med-byxorna-nere-/,Expressen,sweden,cultural,arts,,arts,0,2
2025-08-11,Javascript är avstängt,"Fyra fregatter med stor eldkraft. Det väntas regeringen fatta beslut om att köpa redan om någon månad – i en mångmiljardaffär som präglas av storpolitik och brådska. SVT erfar att fyra europeiska vapentillverkare slåss om kontraktet, följ med på ett reportage från ett av varven. Myndighetskällor uppger för SVT att det enorma upphandlingsprojektet just nu befinner sig i en ”kritisk slutfas”. Under året har tjänstemän på Försvarets materielverk, FMV, besökt flera varv i Europa och tagit del av deras säljpitchar. I potten ligger ett kontrakt på fyra fregatter som var och en kostar tvåsiffriga miljardbelopp, där nya krav på avancerat luftvärn har fått marinen att leta efter längre fartyg än vad Sverige haft på många år. SVT erfar att fyra stycken bolag i Europa är med i slutstriden, vilket stöds av mejlväxling mellan bolagen och FMV. Det handlar om franska Naval Group, spanska Navantia, brittiska Babcock och svenska Saab Kockums. SVT har varit kontakt med bolagen som alla hävdar att de har den bästa produkten för svenska Försvarsmakten. – Vi har lämnat in ett erbjudande gällande ytstridsfartyg för Sverige som bygger på vår långvariga kunskap om den svenska Marinen och dess behov, säger Mats Wicksell, chef för Saabs affärsområde Kockums. Samtidigt har spanska Navantia seglat upp som en ”dark horse”. FMV besökte varvet tidigare i år och har haft tät kontakt sedan dess. – Vi har en välutvecklad grunddesign åt Sverige och vi har erbjudit att leverera två fartyg 2030 och två 2031. Vi är säkra på att vi kommer kunna hålla tiden, säger Rafael Seijo, avdelningschef på Navantia. Från FMV:s sida vill man inte låta sig intervjuas men i mejlutskick uppger pressavdelningen att man just nu analyserar sin marknadsundersökning. Rent formellt är det FMV och Försvarsmakten som ska lämna ett förslag till regeringen att ta ställning till, men källor uppger att flera olika departement redan nu är djupt involverade i processen. – Det här är en affär mellan stater som inbegriper allt från eve",https://www.svt.se/nyheter/inrikes/spelet-bakom-sveriges-miljardkop-av-nya-fregatter-storpolitik,SVT,sweden,political,elections,"elections,governance,foreign_policy,defense",arts,4,1
2025-07-25,Marie flydde Baravara: ”Fullständigt absurd”,"PremiumMarie, 34, blev rekommenderad att åka till Baravara av vänner. Hon hoppades på djupa insikter och att åka därifrån med ett inre lugn. Verkligheten blev en annan. – Hela grejen kändes fullständigt absurd, säger Marie, som lämnade retreaten efter bara en dag. Är du redan prenumerant, logga in för att fortsätta läsa. En vecka gratis, sen 29 kr/mån i 6 månader. Därefter ordinarie pris 99 kr/mån tillsvidare. Ingen bindningstid, säg upp när du vill. En vecka gratis, sen 29 kr/mån i 6 månader. Därefter ordinarie pris 99 kr/mån tillsvidare. Ingen bindningstid, säg upp när du vill. Experten: ”Relativt ny EU-regel” • Så ser arvsskatten ut i olika länder ✓ Spelet bakom Salétros flytt ✓ Blåvitt erbjuder kontrakt ✓ Vill köpa yttern Störd kolesterolomsättning i hjärnan kopplas till demenssjukdomen",https://www.expressen.se/nyheter/sverige/marie-flydde-baravara--fullstandigt-absurd-/,Expressen,sweden,political,foreign_policy,foreign_policy,,1,0
